Item_Identifier,level_1,Item_Weight
DRE25,2,15.35
DRE25,3,15.35
DRE25,4,
DRE25,5,
DRE25,6,15.35
DRE25,7,15.35
DRE25,8,15.35
DRE27,0,11.85
DRE27,1,11.85
DRE27,2,11.85
DRE27,3,11.85
DRE27,4,11.85
DRE27,5,11.85
DRE27,6,11.85
DRE27,7,
DRE27,8,11.85
DRE37,0,
DRE37,1,13.5
DRE37,2,13.5
DRE37,3,13.5
DRE37,4,13.5
DRE37,5,
DRE37,6,13.5
DRE37,7,13.5
DRE37,8,13.5
DRE48,0,8.43
DRE48,1,8.43
DRE48,2,8.43
DRE48,3,8.43
DRE48,4,
DRE48,5,8.43
DRE48,6,8.43
DRE48,7,8.43
DRE48,8,8.43
DRE49,0,20.75
DRE49,1,20.75
DRE49,2,20.75
DRE49,3,20.75
DRE49,4,20.75
DRE49,5,20.75
DRE49,6,
DRE49,7,20.75
DRE49,8,20.75
DRE60,0,
DRE60,1,9.395
DRE60,2,9.395
DRE60,3,9.395
DRE60,4,9.395
DRE60,5,9.395
DRE60,6,
DRE60,7,9.395
DRE60,8,9.395
DRF01,0,5.655
DRF01,1,5.655
DRF01,2,5.655
DRF01,3,5.655
DRF01,4,5.655
DRF01,5,
DRF01,6,5.655
DRF01,7,
DRF01,8,5.655
DRF01,9,5.655
DRF03,0,19.1
DRF03,1,19.1
DRF03,2,
DRF03,3,19.1
DRF03,4,19.1
DRF03,5,19.1
DRF03,6,19.1
DRF03,7,19.1
DRF03,8,19.1
DRF13,0,12.1
DRF13,1,12.1
DRF13,2,12.1
DRF13,3,12.1
DRF13,4,12.1
DRF13,5,12.1
DRF13,6,
DRF13,7,12.1
DRF13,8,
DRF15,0,
DRF15,1,18.35
DRF15,2,18.35
DRF15,3,18.35
DRF15,4,18.35
DRF15,5,18.35
DRF15,6,18.35
DRF15,7,
DRF15,8,18.35
DRF15,9,18.35
DRF23,0,4.61
DRF23,1,
DRF23,2,4.61
DRF23,3,4.61
DRF23,4,4.61
DRF23,5,4.61
DRF23,6,4.61
DRF23,7,4.61
DRF23,8,4.61
DRF25,0,9.0
DRF25,1,
DRF25,2,9.0
DRF25,3,9.0
DRF25,4,9.0
DRF25,5,
DRF25,6,9.0
DRF25,7,9.0
DRF25,8,9.0
DRF27,0,
DRF27,1,8.93
DRF27,2,8.93
DRF27,3,8.93
DRF27,4,8.93
DRF27,5,
DRF27,6,8.93
DRF27,7,8.93
DRF27,8,8.93
DRF36,0,16.1
DRF36,1,16.1
DRF36,2,16.1
DRF36,3,16.1
DRF36,4,16.1
DRF36,5,
DRF36,6,16.1
DRF36,7,16.1
DRF36,8,16.1
DRF37,0,17.25
DRF37,1,17.25
DRF37,2,17.25
DRF37,3,17.25
DRF37,4,
DRF37,5,17.25
DRF37,6,17.25
DRF37,7,17.25
DRF37,8,
DRF48,0,5.73
DRF48,1,5.73
DRF48,2,5.73
DRF48,3,5.73
DRF48,4,5.73
DRF48,5,
DRF48,6,5.73
DRF48,7,5.73
DRF48,8,5.73
DRF49,0,7.27
DRF49,1,7.27
DRF49,2,7.27
DRF49,3,7.27
DRF49,4,
DRF49,5,7.27
DRF49,6,
DRF49,7,7.27
DRF49,8,7.27
DRF51,0,15.75
DRF51,1,15.75
DRF51,2,15.75
DRF51,3,15.75
DRF51,4,15.75
DRF51,5,15.75
DRF51,6,
DRF51,7,15.75
DRF60,0,10.8
DRF60,1,10.8
DRF60,2,10.8
DRF60,3,10.8
DRF60,4,
DRF60,5,10.8
DRF60,6,10.8
DRF60,7,10.8
DRG01,0,14.8
DRG01,1,14.8
DRG01,2,
DRG01,3,
DRG01,4,14.8
DRG01,5,14.8
DRG01,6,14.8
DRG01,7,14.8
DRG01,8,14.8
DRG03,0,14.5
DRG03,1,
DRG03,2,14.5
DRG03,3,14.5
DRG03,4,14.5
DRG03,5,14.5
DRG03,6,14.5
DRG03,7,14.5
DRG03,8,14.5
DRG11,0,6.385
DRG11,1,6.385
DRG11,2,6.385
DRG11,3,6.385
DRG11,4,6.385
DRG11,5,6.385
DRG11,6,6.385
DRG11,7,
DRG11,8,6.385
DRG13,0,17.25
DRG13,1,17.25
DRG13,2,17.25
DRG13,3,17.25
DRG13,4,
DRG13,5,17.25
DRG13,6,17.25
DRG13,7,17.25
DRG15,0,6.13
DRG15,1,6.13
DRG15,2,6.13
DRG15,3,6.13
DRG15,4,6.13
DRG15,5,6.13
DRG15,6,
DRG15,7,6.13
DRG23,0,8.88
DRG23,1,
DRG23,2,8.88
DRG23,3,8.88
DRG23,4,8.88
DRG23,5,8.88
DRG23,6,8.88
DRG23,7,8.88
DRG23,8,8.88
DRG25,0,10.5
DRG25,1,10.5
DRG25,2,10.5
DRG25,3,10.5
DRG25,4,
DRG25,5,10.5
DRG25,6,10.5
DRG25,7,10.5
DRG27,0,8.895
DRG27,1,8.895
DRG27,2,8.895
DRG27,3,
DRG27,4,8.895
DRG27,5,8.895
DRG27,6,
DRG27,7,8.895
DRG27,8,8.895
DRG36,0,14.15
DRG36,1,14.15
DRG36,2,
DRG36,3,14.15
DRG36,4,14.15
DRG36,5,14.15
DRG36,6,14.15
DRG36,7,14.15
DRG37,0,16.2
DRG37,1,16.2
DRG37,2,16.2
DRG37,3,16.2
DRG37,4,16.2
DRG37,5,
DRG37,6,16.2
DRG37,7,16.2
DRG37,8,16.2
DRG37,9,
DRG39,0,14.15
DRG39,1,14.15
DRG39,2,14.15
DRG39,3,14.15
DRG39,4,14.15
DRG39,5,
DRG39,6,14.15
DRG39,7,14.15
DRG48,0,5.78
DRG48,1,5.78
DRG48,2,
DRG48,3,5.78
DRG48,4,5.78
DRG48,5,5.78
DRG48,6,
DRG48,7,5.78
DRG48,8,5.78
DRG48,9,5.78
DRG49,0,
DRG49,1,7.81
DRG49,2,7.81
DRG49,3,7.81
DRG49,4,7.81
DRG49,5,7.81
DRG49,6,7.81
DRG49,7,7.81
DRG49,8,
DRG49,9,7.81
DRG51,0,12.1
DRG51,1,12.1
DRG51,2,12.1
DRG51,3,12.1
DRG51,4,12.1
DRG51,5,12.1
DRG51,6,12.1
DRG51,7,
DRG51,8,12.1
DRH01,0,17.5
DRH01,1,
DRH01,2,17.5
DRH01,3,
DRH01,4,17.5
DRH01,5,17.5
DRH01,6,17.5
DRH01,7,17.5
DRH01,8,17.5
DRH03,0,
DRH03,1,17.25
DRH03,2,17.25
DRH03,3,17.25
DRH03,4,17.25
DRH03,5,17.25
DRH03,6,
DRH03,7,17.25
DRH03,8,17.25
DRH03,9,17.25
DRH11,0,5.98
DRH11,1,5.98
DRH11,2,
DRH11,3,5.98
DRH11,4,5.98
DRH11,5,5.98
DRH11,6,5.98
DRH11,7,5.98
DRH11,8,5.98
DRH11,9,
DRH13,0,8.575
DRH13,1,
DRH13,2,8.575
DRH13,3,8.575
DRH13,4,8.575
DRH13,5,
DRH13,6,8.575
DRH13,7,8.575
DRH13,8,8.575
DRH15,0,8.775
DRH15,1,8.775
DRH15,2,
DRH15,3,8.775
DRH15,4,8.775
DRH15,5,8.775
DRH15,6,8.775
DRH15,7,
DRH15,8,8.775
DRH23,0,14.65
DRH23,1,14.65
DRH23,2,
DRH23,3,14.65
DRH23,4,14.65
DRH23,5,
DRH23,6,14.65
DRH23,7,14.65
DRH23,8,14.65
DRH23,9,14.65
DRH25,0,
DRH25,1,18.7
DRH25,2,18.7
DRH25,3,18.7
DRH25,4,18.7
DRH25,5,18.7
DRH25,6,18.7
DRH25,7,18.7
DRH25,8,18.7
DRH36,0,16.2
DRH36,1,16.2
DRH36,2,16.2
DRH36,3,16.2
DRH36,4,
DRH36,5,16.2
DRH36,6,16.2
DRH36,7,
DRH36,8,16.2
DRH37,0,17.6
DRH37,1,
DRH37,2,17.6
DRH37,3,17.6
DRH37,4,17.6
DRH37,5,17.6
DRH37,6,17.6
DRH37,7,17.6
DRH37,8,
DRH37,9,17.6
DRH39,0,20.7
DRH39,1,
DRH39,2,20.7
DRH39,3,20.7
DRH39,4,20.7
DRH39,5,
DRH39,6,20.7
DRH39,7,20.7
DRH39,8,20.7
DRH39,9,20.7
DRH49,0,
DRH49,1,19.7
DRH49,2,19.7
DRH49,3,19.7
DRH49,4,19.7
DRH49,5,19.7
DRH49,6,19.7
DRH49,7,19.7
DRH49,8,19.7
DRH49,9,
DRH51,0,17.6
DRH51,1,
DRH51,2,17.6
DRH51,3,17.6
DRH51,4,
DRH51,5,17.6
DRH51,6,17.6
DRH51,7,17.6
DRH51,8,17.6
DRH59,0,10.8
DRH59,1,10.8
DRH59,2,10.8
DRH59,3,10.8
DRH59,4,
DRH59,5,10.8
DRH59,6,10.8
DRH59,7,10.8
DRH59,8,10.8
DRI01,0,7.97
DRI01,1,7.97
DRI01,2,7.97
DRI01,3,7.97
DRI01,4,
DRI01,5,7.97
DRI01,6,7.97
DRI01,7,7.97
DRI01,8,7.97
DRI03,0,6.03
DRI03,1,6.03
DRI03,2,6.03
DRI03,3,
DRI03,4,6.03
DRI03,5,
DRI03,6,6.03
DRI03,7,6.03
DRI03,8,6.03
DRI03,9,6.03
DRI11,0,
DRI11,1,
DRI11,2,8.26
DRI11,3,8.26
DRI11,4,8.26
DRI11,5,8.26
DRI11,6,8.26
DRI11,7,8.26
DRI11,8,8.26
DRI11,9,8.26
DRI13,0,15.35
DRI13,1,15.35
DRI13,2,15.35
DRI13,3,15.35
DRI13,4,15.35
DRI13,5,
DRI13,6,15.35
DRI13,7,15.35
DRI23,0,
DRI23,1,18.85
DRI23,2,18.85
DRI23,3,18.85
DRI23,4,18.85
DRI23,5,18.85
DRI23,6,18.85
DRI23,7,18.85
DRI25,0,19.6
DRI25,1,19.6
DRI25,2,19.6
DRI25,3,19.6
DRI25,4,19.6
DRI25,5,
DRI25,6,19.6
DRI25,7,19.6
DRI25,8,19.6
DRI37,0,15.85
DRI37,1,
DRI37,2,15.85
DRI37,3,15.85
DRI37,4,15.85
DRI37,5,15.85
DRI37,6,15.85
DRI37,7,15.85
DRI37,8,15.85
DRI39,0,13.8
DRI39,1,13.8
DRI39,2,13.8
DRI39,3,13.8
DRI39,4,
DRI39,5,13.8
DRI39,6,13.8
DRI39,7,13.8
DRI39,8,13.8
DRI47,0,14.7
DRI47,1,14.7
DRI47,2,14.7
DRI47,3,14.7
DRI47,4,14.7
DRI47,5,14.7
DRI47,6,
DRI47,7,14.7
DRI47,8,
DRI47,9,14.7
DRI49,0,14.15
DRI49,1,14.15
DRI49,2,14.15
DRI49,3,14.15
DRI49,4,14.15
DRI49,5,
DRI49,6,14.15
DRI49,7,14.15
DRI51,0,17.25
DRI51,1,17.25
DRI51,2,17.25
DRI51,3,17.25
DRI51,4,17.25
DRI51,5,
DRI51,6,17.25
DRI51,7,17.25
DRI51,8,17.25
DRI59,0,9.5
DRI59,1,
DRI59,2,9.5
DRI59,3,9.5
DRI59,4,9.5
DRI59,5,9.5
DRI59,6,9.5
DRI59,7,9.5
DRJ01,0,6.135
DRJ01,1,6.135
DRJ01,2,6.135
DRJ01,3,6.135
DRJ01,4,6.135
DRJ01,5,
DRJ01,6,6.135
DRJ01,7,6.135
DRJ01,8,6.135
DRJ11,0,9.5
DRJ11,1,9.5
DRJ11,2,9.5
DRJ11,3,9.5
DRJ11,4,9.5
DRJ11,5,9.5
DRJ11,6,9.5
DRJ11,7,9.5
DRJ11,8,
DRJ13,0,12.65
DRJ13,1,12.65
DRJ13,2,12.65
DRJ13,3,12.65
DRJ13,4,12.65
DRJ13,5,12.65
DRJ13,6,12.65
DRJ13,7,12.65
DRJ13,8,
DRJ23,0,18.35
DRJ23,1,18.35
DRJ23,2,
DRJ23,3,18.35
DRJ23,4,18.35
DRJ23,5,18.35
DRJ23,6,18.35
DRJ23,7,18.35
DRJ23,8,18.35
DRJ24,0,11.8
DRJ24,1,11.8
DRJ24,2,11.8
DRJ24,3,
DRJ24,4,11.8
DRJ24,5,11.8
DRJ24,6,11.8
DRJ24,7,11.8
DRJ24,8,
DRJ24,9,11.8
DRJ25,0,14.6
DRJ25,1,14.6
DRJ25,2,14.6
DRJ25,3,14.6
DRJ25,4,
DRJ25,5,14.6
DRJ25,6,14.6
DRJ25,7,14.6
DRJ25,8,14.6
DRJ35,0,10.1
DRJ35,1,10.1
DRJ35,2,10.1
DRJ35,3,10.1
DRJ35,4,10.1
DRJ35,5,10.1
DRJ35,6,
DRJ35,7,10.1
DRJ37,0,10.8
DRJ37,1,10.8
DRJ37,2,
DRJ37,3,10.8
DRJ37,4,10.8
DRJ37,5,10.8
DRJ37,6,10.8
DRJ37,7,10.8
DRJ39,0,20.25
DRJ39,1,20.25
DRJ39,2,20.25
DRJ39,3,
DRJ39,4,20.25
DRJ39,5,20.25
DRJ39,6,20.25
DRJ39,7,20.25
DRJ39,8,20.25
DRJ47,0,
DRJ47,1,18.25
DRJ47,2,18.25
DRJ47,3,18.25
DRJ47,4,18.25
DRJ47,5,18.25
DRJ47,6,
DRJ47,7,18.25
DRJ47,8,18.25
DRJ47,9,18.25
DRJ49,0,6.865
DRJ49,1,6.865
DRJ49,2,6.865
DRJ49,3,6.865
DRJ49,4,6.865
DRJ49,5,
DRJ49,6,6.865
DRJ49,7,6.865
DRJ51,0,14.1
DRJ51,1,14.1
DRJ51,2,14.1
DRJ51,3,14.1
DRJ51,4,14.1
DRJ51,5,
DRJ51,6,14.1
DRJ51,7,
DRJ51,8,14.1
DRJ59,0,11.65
DRJ59,1,
DRJ59,2,11.65
DRJ59,3,11.65
DRJ59,4,11.65
DRJ59,5,11.65
DRJ59,6,11.65
DRJ59,7,11.65
DRJ59,8,11.65
DRK01,0,7.63
DRK01,1,7.63
DRK01,2,7.63
DRK01,3,7.63
DRK01,4,7.63
DRK01,5,7.63
DRK01,6,
DRK01,7,
DRK01,8,7.63
DRK11,0,8.21
DRK11,1,8.21
DRK11,2,8.21
DRK11,3,
DRK11,4,8.21
DRK11,5,8.21
DRK11,6,
DRK11,7,8.21
DRK12,0,
DRK12,1,9.5
DRK12,2,9.5
DRK12,3,9.5
DRK12,4,9.5
DRK12,5,9.5
DRK12,6,9.5
DRK12,7,9.5
DRK12,8,9.5
DRK13,0,11.8
DRK13,1,11.8
DRK13,2,11.8
DRK13,3,
DRK13,4,11.8
DRK13,5,11.8
DRK13,6,
DRK13,7,11.8
DRK13,8,11.8
DRK13,9,11.8
DRK23,0,8.395
DRK23,1,8.395
DRK23,2,
DRK23,3,8.395
DRK23,4,8.395
DRK23,5,8.395
DRK23,6,
DRK23,7,8.395
DRK23,8,8.395
DRK35,0,8.365
DRK35,1,
DRK35,2,8.365
DRK35,3,
DRK35,4,8.365
DRK35,5,8.365
DRK35,6,8.365
DRK35,7,8.365
DRK35,8,8.365
DRK35,9,8.365
DRK37,0,5.0
DRK37,1,
DRK37,2,5.0
DRK37,3,5.0
DRK37,4,
DRK37,5,5.0
DRK37,6,5.0
DRK37,7,5.0
DRK37,8,5.0
DRK37,9,5.0
DRK39,0,7.02
DRK39,1,7.02
DRK39,2,
DRK39,3,7.02
DRK39,4,7.02
DRK39,5,7.02
DRK39,6,7.02
DRK39,7,7.02
DRK39,8,7.02
DRK47,0,7.905
DRK47,1,7.905
DRK47,2,7.905
DRK47,3,7.905
DRK47,4,7.905
DRK47,5,7.905
DRK47,6,7.905
DRK47,7,
DRK47,8,7.905
DRK49,0,14.15
DRK49,1,14.15
DRK49,2,
DRK49,3,
DRK49,4,14.15
DRK49,5,14.15
DRK49,6,14.15
DRK49,7,14.15
DRK49,8,14.15
DRK49,9,14.15
DRK59,0,8.895
DRK59,1,
DRK59,2,8.895
DRK59,3,8.895
DRK59,4,8.895
DRK59,5,8.895
DRK59,6,8.895
DRK59,7,8.895
DRK59,8,
DRK59,9,8.895
DRL01,0,19.5
DRL01,1,19.5
DRL01,2,19.5
DRL01,3,19.5
DRL01,4,
DRL01,5,
DRL01,6,19.5
DRL01,7,19.5
DRL01,8,19.5
DRL01,9,19.5
DRL11,0,10.5
DRL11,1,10.5
DRL11,2,
DRL11,3,10.5
DRL11,4,10.5
DRL11,5,10.5
DRL11,6,10.5
DRL11,7,10.5
DRL11,8,10.5
DRL23,0,18.35
DRL23,1,18.35
DRL23,2,18.35
DRL23,3,18.35
DRL23,4,
DRL23,5,18.35
DRL23,6,18.35
DRL23,7,18.35
DRL23,8,
DRL35,0,15.7
DRL35,1,15.7
DRL35,2,15.7
DRL35,3,15.7
DRL35,4,15.7
DRL35,5,
DRL35,6,15.7
DRL35,7,15.7
DRL35,8,15.7
DRL37,0,15.5
DRL37,1,15.5
DRL37,2,15.5
DRL37,3,15.5
DRL37,4,
DRL37,5,15.5
DRL37,6,15.5
DRL37,7,15.5
DRL37,8,15.5
DRL47,0,19.7
DRL47,1,19.7
DRL47,2,
DRL47,3,19.7
DRL47,4,19.7
DRL47,5,19.7
DRL47,6,19.7
DRL47,7,19.7
DRL47,8,
DRL49,0,13.15
DRL49,1,13.15
DRL49,2,13.15
DRL49,3,13.15
DRL49,4,13.15
DRL49,5,13.15
DRL49,6,13.15
DRL49,7,
DRL49,8,
DRL49,9,13.15
DRL59,0,16.75
DRL59,1,
DRL59,2,16.75
DRL59,3,16.75
DRL59,4,16.75
DRL59,5,16.75
DRL59,6,16.75
DRL59,7,
DRL59,8,16.75
DRL60,0,8.52
DRL60,1,8.52
DRL60,2,8.52
DRL60,3,8.52
DRL60,4,8.52
DRL60,5,8.52
DRL60,6,
DRL60,7,8.52
DRL60,8,8.52
DRL60,9,
DRM11,0,6.57
DRM11,1,6.57
DRM11,2,6.57
DRM11,3,6.57
DRM11,4,6.57
DRM11,5,
DRM11,6,6.57
DRM11,7,6.57
DRM11,8,
DRM11,9,6.57
DRM23,0,16.6
DRM23,1,16.6
DRM23,2,16.6
DRM23,3,16.6
DRM23,4,16.6
DRM23,5,
DRM23,6,16.6
DRM23,7,16.6
DRM23,8,16.6
DRM35,0,9.695
DRM35,1,9.695
DRM35,2,9.695
DRM35,3,
DRM35,4,9.695
DRM35,5,9.695
DRM35,6,9.695
DRM35,7,9.695
DRM37,0,15.35
DRM37,1,
DRM37,2,15.35
DRM37,3,15.35
DRM37,4,15.35
DRM37,5,
DRM37,6,15.35
DRM37,7,15.35
DRM37,8,15.35
DRM37,9,15.35
DRM47,0,
DRM47,1,9.3
DRM47,2,9.3
DRM47,3,9.3
DRM47,4,9.3
DRM47,5,9.3
DRM47,6,9.3
DRM47,7,9.3
DRM47,8,9.3
DRM48,0,15.2
DRM48,1,15.2
DRM48,2,
DRM48,3,15.2
DRM48,4,15.2
DRM48,5,15.2
DRM48,6,15.2
DRM48,7,15.2
DRM48,8,15.2
DRM49,0,6.11
DRM49,1,6.11
DRM49,2,6.11
DRM49,3,6.11
DRM49,4,6.11
DRM49,5,6.11
DRM49,6,
DRM49,7,6.11
DRM59,0,
DRM59,1,5.88
DRM59,2,5.88
DRM59,3,5.88
DRM59,4,5.88
DRM59,5,5.88
DRM59,6,
DRM59,7,5.88
DRM59,8,5.88
DRN11,0,7.85
DRN11,1,7.85
DRN11,2,7.85
DRN11,3,7.85
DRN11,4,7.85
DRN11,5,7.85
DRN11,6,
DRN35,0,8.01
DRN35,1,8.01
DRN35,2,8.01
DRN35,3,8.01
DRN35,4,8.01
DRN35,5,8.01
DRN35,6,
DRN35,7,8.01
DRN35,8,8.01
DRN36,0,
DRN36,1,15.2
DRN36,2,15.2
DRN36,3,
DRN36,4,15.2
DRN36,5,15.2
DRN36,6,15.2
DRN36,7,15.2
DRN36,8,15.2
DRN37,0,9.6
DRN37,1,9.6
DRN37,2,9.6
DRN37,3,9.6
DRN37,4,9.6
DRN37,5,9.6
DRN37,6,9.6
DRN37,7,9.6
DRN37,8,
DRN37,9,
DRN47,0,12.1
DRN47,1,12.1
DRN47,2,12.1
DRN47,3,12.1
DRN47,4,
DRN47,5,12.1
DRN47,6,12.1
DRN47,7,12.1
DRN47,8,12.1
DRN47,9,
DRN59,0,15.0
DRN59,1,15.0
DRN59,2,
DRN59,3,15.0
DRN59,4,15.0
DRN59,5,15.0
DRN59,6,15.0
DRN59,7,15.0
DRO35,0,13.85
DRO35,1,13.85
DRO35,2,13.85
DRO35,3,13.85
DRO35,4,13.85
DRO35,5,13.85
DRO35,6,13.85
DRO35,7,13.85
DRO35,8,
DRO47,0,10.195
DRO47,1,10.195
DRO47,2,10.195
DRO47,3,10.195
DRO47,4,10.195
DRO47,5,10.195
DRO47,6,10.195
DRO47,7,
DRO47,8,10.195
DRO59,0,11.8
DRO59,1,11.8
DRO59,2,
DRO59,3,11.8
DRO59,4,11.8
DRO59,5,
DRO59,6,11.8
DRO59,7,11.8
DRO59,8,11.8
DRP35,0,
DRP35,1,18.85
DRP35,2,
DRP35,3,18.85
DRP35,4,18.85
DRP35,5,18.85
DRP35,6,18.85
DRP35,7,18.85
DRP35,8,18.85
DRP47,0,15.75
DRP47,1,15.75
DRP47,2,15.75
DRP47,3,15.75
DRP47,4,
DRP47,5,15.75
DRP47,6,15.75
DRP47,7,15.75
DRP47,8,15.75
DRP47,9,
DRQ35,0,
DRQ35,1,9.3
DRQ35,2,9.3
DRQ35,3,9.3
DRQ35,4,9.3
DRQ35,5,9.3
DRQ35,6,9.3
DRQ35,7,9.3
DRQ35,8,
DRY23,0,
DRY23,1,9.395
DRY23,2,
DRY23,3,9.395
DRY23,4,9.395
DRY23,5,9.395
DRY23,6,9.395
DRY23,7,9.395
DRY23,8,9.395
DRZ11,0,8.85
DRZ11,1,8.85
DRZ11,2,
DRZ11,3,8.85
DRZ11,4,8.85
DRZ11,5,8.85
DRZ11,6,8.85
DRZ11,7,8.85
DRZ24,0,7.535
DRZ24,1,7.535
DRZ24,2,
DRZ24,3,7.535
DRZ24,4,7.535
DRZ24,5,7.535
DRZ24,6,7.535
DRZ24,7,7.535
DRZ24,8,
